freq/Hz	-Im(Z)/Ohm	Re(Z)/Ohm	
1.5855076E+003	2.3826345E+003	9.1825469E+003
1.1818910E+003	2.4914021E+003	9.4058711E+003
8.8141022E+002	2.6730044E+003	9.7412490E+003
6.5768494E+002	2.9885730E+003	1.0288928E+004
4.9078522E+002	3.5437971E+003	1.0600180E+004
3.6605426E+002	4.0278206E+003	1.0714281E+004
2.7299075E+002	4.7939360E+003	1.1451146E+004
2.0376114E+002	5.7663896E+003	1.2119071E+004
1.5199416E+002	6.9398257E+003	1.2316536E+004
1.1343907E+002	8.6015381E+003	1.2791909E+004
8.4593941E+001	1.0262283E+004	1.4186640E+004
6.3082302E+001	1.2505654E+004	1.4964122E+004
4.7063255E+001	1.5297030E+004	1.6349893E+004
3.5101093E+001	1.8915277E+004	1.7652561E+004
2.6181301E+001	2.3674900E+004	1.9458697E+004
1.9531252E+001	2.9553844E+004	2.1047660E+004
1.4575557E+001	3.7374121E+004	2.3361148E+004
1.0880919E+001	4.7178508E+004	2.6840217E+004
8.1042528E+000	5.9690305E+004	2.9608352E+004
6.0468264E+000	7.6110125E+004	3.3718516E+004
4.5106812E+000	9.6848172E+004	4.1401766E+004
3.3674569E+000	1.2281796E+005	4.8824824E+004
2.5136740E+000	1.5801956E+005	5.9804016E+004
1.8744003E+000	1.9882358E+005	6.8408297E+004
1.3970852E+000	2.5385436E+005	8.5139188E+004
1.0433360E+000	3.2676191E+005	9.8150055E+004
7.7705413E-001	4.1701597E+005	1.2631611E+005
5.7999259E-001	6.0199613E+005	-1.6598975E+004
4.3258584E-001	6.9130131E+005	2.0481752E+005
3.2293734E-001	8.8968969E+005	2.6304891E+005
2.4074021E-001	1.1841669E+006	3.1932956E+005
1.7979608E-001	1.4845940E+006	4.3855156E+005
1.3415243E-001	1.9708854E+006	5.1604897E+005
9.9904113E-002	2.5952048E+006	6.8587169E+005
1.0000186E+006	1.6051181E+002	-1.4377025E-002
7.4598238E+005	2.4903862E+002	1.0331506E+001
5.5648750E+005	3.3437460E+002	2.5046938E+001
4.1512953E+005	4.5362515E+002	4.7224106E+001
3.0967934E+005	6.2146960E+002	8.2421684E+001
2.3101619E+005	8.2460376E+002	1.3691139E+002
1.7232964E+005	1.0927493E+003	2.3717789E+002
1.2855367E+005	1.4102772E+003	3.6118182E+002
9.5902617E+004	1.8026211E+003	5.6285730E+002
7.1537258E+004	2.3347952E+003	9.4966840E+002
5.3369953E+004	2.8261218E+003	1.3103555E+003
3.9814063E+004	3.2661230E+003	2.2770823E+003
2.9700492E+004	3.6666003E+003	2.6737678E+003
2.2157064E+004	3.8513523E+003	3.8351570E+003
1.6525014E+004	3.8663955E+003	4.7435786E+003
1.2331135E+004	3.6482224E+003	5.7333994E+003
